Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,Country,Season
E2,2002-08-10,Burnley,Brighton,1,3,A,0,1,A,A Bates,17,11,7,8,14,10,8,4,0,3,1,0,1.8,3.25,4.0,1.79,3.4,4.0,1.8,3.1,3.8,1.909,3.25,3.4,,,,1.833,3.25,4.0,1.72,3.25,4.2,1.85,1.92,,,EN,2002/2003
E2,2002-08-10,Coventry,Sheffield United,2,1,H,2,1,H,P Dowd,8,16,5,10,24,21,7,11,4,2,0,0,1.727,3.5,4.0,1.85,3.33,3.85,1.8,3.1,3.8,1.833,3.25,3.75,,,,1.8,3.25,4.2,1.72,3.25,4.2,1.8,1.94,,,EN,2002/2003
E2,2002-08-10,Derby,Reading,3,0,H,0,0,D,G Laws,16,5,10,2,13,12,8,5,4,3,0,0,1.533,3.5,5.5,1.54,3.55,5.8,1.55,3.5,4.8,1.5,3.4,6.0,,,,1.533,3.5,6.0,1.53,3.4,5.5,1.7,1.94,,,EN,2002/2003
E2,2002-08-10,Leicester,Watford,2,0,H,0,0,D,A Leake,11,2,9,2,16,16,8,5,1,0,0,0,1.727,3.25,4.333,1.8,3.3,4.0,1.75,3.2,4.0,1.8,3.25,3.75,,,,1.8,3.2,4.2,1.72,3.25,4.2,1.7,1.94,,,EN,2002/2003
E2,2002-08-10,Millwall,Rotherham,0,6,A,0,2,A,K Hill,11,9,3,7,13,11,6,1,3,1,0,0,1.444,3.75,6.5,1.55,3.5,5.25,1.55,3.5,4.8,1.571,3.25,5.5,,,,1.571,3.5,5.5,1.57,3.5,5.0,1.75,1.94,,,EN,2002/2003
E2,2002-08-10,Norwich,Grimsby,4,0,H,2,0,H,P Walton,13,11,8,3,10,6,5,6,2,0,0,0,1.571,3.4,5.5,1.6,3.4,5.4,1.55,3.5,4.8,1.571,3.25,5.5,,,,1.6,3.4,5.5,1.57,3.5,5.0,1.75,1.94,,,EN,2002/2003
E2,2002-08-10,Portsmouth,Nott'm Forest,2,0,H,2,0,H,D Gallagher,11,4,7,2,14,14,4,5,2,1,0,0,1.8,3.25,4.0,1.9,3.3,3.7,1.8,3.1,3.8,1.8,3.25,3.75,,,,1.909,3.2,3.75,1.72,3.25,4.2,1.8,1.94,,,EN,2002/2003
E2,2002-08-10,Preston,Crystal Palace,1,2,A,0,0,D,M Clattenburg,12,9,9,4,13,23,8,8,1,2,1,0,1.8,3.25,4.0,2.0,3.3,3.4,1.9,3.1,3.5,2.0,3.2,3.2,,,,2.0,3.2,3.4,1.8,3.3,3.75,1.7,1.94,,,EN,2002/2003
E2,2002-08-10,Sheffield Weds,Stoke,0,0,D,0,0,D,A Hall,14,9,9,3,7,3,8,3,0,0,0,0,1.909,3.25,3.5,1.9,3.25,3.75,2.0,3.1,3.2,2.1,3.2,3.0,,,,1.95,3.25,3.5,1.9,3.2,3.5,1.85,1.92,,,EN,2002/2003
E2,2002-08-10,Walsall,Ipswich,0,2,A,0,1,A,H Webb,7,16,4,12,18,15,3,4,1,2,0,0,3.5,3.25,1.909,3.3,3.25,2.0,3.2,3.1,2.0,3.75,3.25,1.8,4.0,3.25,1.8,3.4,3.2,2.0,3.2,3.2,2.0,1.8,1.94,,,EN,2002/2003
E2,2002-08-10,Wimbledon,Gillingham,0,1,A,0,0,D,C Penton,9,17,2,9,11,20,4,5,2,1,0,0,1.833,3.25,3.75,1.87,3.25,4.0,1.85,3.1,3.6,2.0,3.2,3.2,,,,1.85,3.2,4.0,1.8,3.3,3.75,1.9,1.9,,,EN,2002/2003
E2,2002-08-11,Bradford,Wolves,0,0,D,0,0,D,C Webster,6,12,4,4,17,15,7,13,3,4,0,0,3.75,3.4,1.8,3.5,3.3,1.9,3.2,3.1,2.0,4.0,3.4,1.727,3.75,3.4,1.8,3.4,3.2,2.0,3.2,3.2,2.0,1.71,1.94,,,EN,2002/2003
E2,2002-08-13,Brighton,Coventry,0,0,D,0,0,D,P Taylor,6,14,5,5,20,19,6,1,1,4,0,1,2.375,3.2,2.625,2.32,3.32,2.72,2.2,3.1,2.8,2.2,3.25,2.75,2.38,3.2,2.63,2.4,3.1,2.7,2.3,3.25,2.62,1.77,1.87,,,EN,2002/2003
E2,2002-08-13,Crystal Palace,Bradford,1,1,D,0,0,D,P Armstrong,11,6,4,4,15,14,12,2,2,3,0,0,1.667,3.4,4.5,1.72,3.45,4.55,1.65,3.4,4.2,1.667,3.4,4.333,,,,1.615,3.5,5.0,1.66,3.4,4.33,1.67,1.97,,,EN,2002/2003
E2,2002-08-13,Gillingham,Derby,1,0,H,1,0,H,S Dunn,14,11,4,4,8,13,12,1,2,2,0,0,3.0,3.25,2.1,3.02,3.27,2.17,2.8,3.1,2.2,3.0,3.2,2.1,2.75,3.25,2.25,3.0,3.25,2.15,2.8,3.2,2.2,1.72,1.92,,,EN,2002/2003
E2,2002-08-13,Grimsby,Wimbledon,0,0,D,0,0,D,M Ryan,10,10,3,2,17,16,11,3,3,3,0,0,2.4,3.2,2.6,2.42,3.27,2.66,2.4,3.0,2.6,2.4,3.25,2.5,2.25,3.25,2.75,2.375,3.2,2.7,2.37,3.1,2.62,1.72,1.92,,,EN,2002/2003
E2,2002-08-13,Reading,Sheffield Weds,2,1,H,0,1,A,L Cable,7,14,2,6,8,17,1,10,1,3,0,1,2.1,3.25,3.0,2.22,3.25,3.1,2.1,3.1,3.0,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.25,3.1,2.1,3.2,3.0,1.8,1.8,,,EN,2002/2003
E2,2002-08-13,Rotherham,Norwich,1,1,D,0,0,D,R Pearson,14,5,5,3,13,9,5,3,1,0,0,0,2.4,3.2,2.6,2.6,3.2,2.62,2.5,3.0,2.5,2.5,3.25,2.4,2.38,3.2,2.63,2.4,3.25,2.625,2.4,3.1,2.6,1.85,1.75,,,EN,2002/2003
E2,2002-08-13,Sheffield United,Portsmouth,1,1,D,1,1,D,A Bates,19,9,11,5,12,14,8,2,1,3,0,0,2.375,3.2,2.625,2.3,3.27,2.69,2.2,3.1,2.8,2.25,3.2,2.75,2.38,3.2,2.63,2.375,3.2,2.7,2.3,3.25,2.62,1.7,1.9,,,EN,2002/2003
E2,2002-08-13,Watford,Millwall,0,0,D,0,0,D,M Dean,16,15,9,9,24,17,7,5,1,5,0,1,2.25,3.25,2.75,2.38,3.32,2.77,2.2,3.1,2.8,2.2,3.25,2.75,2.25,3.25,2.75,2.2,3.25,2.9,2.3,3.25,2.62,1.87,1.77,,,EN,2002/2003
E2,2002-08-14,Nott'm Forest,Preston,2,2,D,0,1,A,G Poll,10,7,4,3,15,18,10,10,2,2,0,0,2.25,3.25,2.75,2.36,3.3,2.75,2.2,3.1,2.8,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,2.9,2.2,3.2,2.8,1.8,1.8,,,EN,2002/2003
E2,2002-08-14,Stoke,Leicester,0,1,A,0,1,A,G Cain,7,5,2,2,4,14,4,4,0,1,0,0,2.6,3.2,2.4,2.72,3.3,2.32,2.6,3.0,2.4,2.75,3.25,2.2,2.75,3.25,2.25,2.7,3.2,2.375,2.5,3.1,2.5,1.8,1.8,,,EN,2002/2003
E2,2002-08-14,Wolves,Walsall,3,1,H,1,0,H,M Jones,9,4,6,1,6,13,7,3,1,1,0,0,1.444,3.75,6.5,1.5,3.7,6.25,1.5,3.7,5.0,1.5,3.4,6.0,1.5,3.5,6.0,1.444,3.75,7.0,1.5,3.4,6.0,1.65,1.95,,,EN,2002/2003
E2,2002-08-17,Brighton,Norwich,0,2,A,0,0,D,D Gallagher,11,10,0,3,7,11,8,4,1,0,0,0,2.25,3.25,2.75,2.3,3.2,2.75,2.3,3.0,2.7,2.375,3.0,2.75,2.38,3.2,2.63,2.3,3.25,2.75,2.25,3.2,2.75,1.8,1.8,,,EN,2002/2003
E2,2002-08-17,Crystal Palace,Portsmouth,2,3,A,2,0,H,S Dunn,9,12,2,7,9,13,3,3,0,2,0,0,2.25,3.25,2.75,2.18,3.25,3.2,2.2,3.1,2.8,2.2,3.2,2.8,2.25,3.25,2.75,2.25,3.25,2.8,2.2,3.2,2.8,1.7,1.9,,,EN,2002/2003
E2,2002-08-17,Gillingham,Millwall,1,0,H,0,0,D,R Beeby,14,7,8,4,10,16,12,6,2,2,0,0,2.2,3.25,2.8,2.22,3.2,2.9,2.1,3.1,3.0,2.2,3.2,2.8,2.1,3.25,3.0,2.2,3.2,3.0,2.0,3.2,3.2,1.85,1.75,,,EN,2002/2003
E2,2002-08-17,Grimsby,Derby,1,2,A,1,1,D,A Leake,9,8,4,2,7,17,12,1,3,3,0,0,3.75,3.25,1.833,3.2,3.25,2.05,3.2,3.1,2.0,3.5,3.2,1.909,3.75,3.25,1.83,3.4,3.2,2.0,3.2,3.2,2.0,1.8,1.8,,,EN,2002/2003
E2,2002-08-17,Nott'm Forest,Sheffield Weds,4,0,H,1,0,H,P Danson,12,18,6,15,15,17,6,9,1,4,0,1,2.0,3.25,3.25,2.05,3.25,3.2,2.1,3.1,3.0,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.25,3.1,2.1,3.2,3.0,1.7,1.9,,,EN,2002/2003
E2,2002-08-17,Reading,Coventry,1,2,A,1,0,H,K Hill,10,18,4,9,11,6,8,3,1,3,0,0,2.375,3.2,2.625,2.47,3.2,2.55,2.4,3.0,2.6,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.25,2.5,2.37,3.1,2.62,1.8,1.8,,,EN,2002/2003
E2,2002-08-17,Rotherham,Preston,0,0,D,0,0,D,A Kaye,5,10,3,5,11,10,7,6,1,1,0,0,2.5,3.2,2.5,2.4,3.2,2.65,2.3,3.0,2.7,2.25,3.2,2.75,2.25,3.25,2.75,2.4,3.25,2.625,2.37,3.1,2.62,1.7,1.9,,,EN,2002/2003
E2,2002-08-17,Sheffield United,Walsall,1,1,D,1,1,D,C Webster,10,6,6,2,9,12,6,2,1,1,0,0,1.667,3.4,4.5,1.67,3.4,4.75,1.65,3.3,4.4,1.727,3.4,4.0,1.67,3.4,4.5,1.667,3.4,5.0,1.66,3.3,4.5,1.8,1.8,,,EN,2002/2003
E2,2002-08-17,Stoke,Bradford,2,1,H,2,0,H,R Olivier,8,11,4,6,13,12,6,9,3,3,0,0,2.1,3.25,3.0,2.05,3.26,3.2,2.0,3.2,3.1,1.909,3.25,3.4,2.1,3.25,3.0,1.909,3.25,3.6,2.1,3.2,3.0,1.8,1.7,,,EN,2002/2003
E2,2002-08-17,Watford,Wimbledon,3,2,H,2,1,H,S Baines,13,7,8,3,11,9,7,1,0,0,0,0,1.833,3.25,3.75,2.0,3.25,3.5,2.0,3.2,3.1,2.1,3.2,3.0,2.0,3.25,3.25,2.1,3.2,3.2,2.0,3.2,3.2,1.9,1.7,,,EN,2002/2003
E2,2002-08-17,Wolves,Burnley,3,0,H,1,0,H,J Winter,12,3,5,0,13,13,8,0,1,2,0,1,1.533,3.4,6.0,1.6,3.45,5.2,1.55,3.5,4.8,1.667,3.25,4.5,1.53,3.5,5.5,1.6,3.4,5.5,1.57,3.5,5.0,1.7,1.9,,,EN,2002/2003
E2,2002-08-18,Ipswich,Leicester,6,1,H,1,1,D,P Walton,25,16,10,5,11,11,8,5,2,3,0,0,1.727,3.25,4.333,1.87,3.3,3.75,1.85,3.2,3.5,1.8,3.25,3.75,1.8,3.2,4.0,1.9,3.2,3.75,1.83,3.3,3.6,1.87,1.77,,,EN,2002/2003
E2,2002-08-24,Bradford,Grimsby,0,0,D,0,0,D,P Rejer,14,7,6,2,19,16,3,1,3,2,0,0,1.8,3.25,4.0,1.78,3.3,4.1,1.7,3.3,4.0,1.727,3.5,3.75,1.73,3.25,4.33,1.8,3.25,4.2,1.72,3.25,4.2,1.7,1.9,,,EN,2002/2003
E2,2002-08-24,Burnley,Sheffield United,0,1,A,0,1,A,R Pearson,14,14,5,3,16,11,2,5,1,3,0,0,2.1,3.25,3.0,2.08,3.25,3.25,2.1,3.0,3.1,2.2,3.25,2.75,2.1,3.25,3.0,2.1,3.25,3.1,2.0,3.1,3.3,1.8,1.8,,,EN,2002/2003
E2,2002-08-24,Coventry,Crystal Palace,1,0,H,1,0,H,P Prosser,7,12,5,3,20,15,0,5,3,2,1,0,1.727,3.25,4.333,1.77,3.35,4.2,1.75,3.2,4.0,1.8,3.25,3.75,1.8,3.2,4.0,1.75,3.4,4.2,1.72,3.25,4.2,1.7,1.9,,,EN,2002/2003
E2,2002-08-24,Derby,Wolves,1,4,A,1,1,D,A Kaye,13,16,7,9,11,15,1,6,1,2,0,0,2.2,3.25,2.8,2.2,3.25,3.0,2.2,3.0,2.9,2.1,3.2,3.0,2.2,3.25,2.8,2.1,3.2,3.2,2.2,3.0,3.0,1.85,1.75,,,EN,2002/2003
E2,2002-08-24,Leicester,Reading,2,1,H,2,1,H,D Elleray,11,6,7,3,16,7,6,5,2,2,0,0,1.667,3.4,4.5,1.66,3.6,4.75,1.6,3.4,4.6,1.615,3.5,4.5,1.57,3.5,5.0,1.615,3.5,5.0,1.61,3.3,5.0,1.7,1.9,,,EN,2002/2003
E2,2002-08-24,Millwall,Ipswich,1,1,D,1,0,H,S Baines,19,9,11,5,11,9,5,7,0,0,0,0,3.0,3.25,2.1,3.0,3.25,2.11,3.0,3.1,2.1,3.0,3.2,2.1,3.0,3.25,2.1,3.1,3.25,2.1,3.0,3.2,2.1,1.8,1.8,,,EN,2002/2003
E2,2002-08-24,Norwich,Gillingham,1,0,H,1,0,H,L Cable,12,18,7,11,13,17,5,7,1,2,0,0,1.8,3.25,4.0,1.82,3.35,4.35,1.8,3.2,3.7,1.8,3.25,3.75,1.8,3.2,4.0,1.8,3.25,4.2,1.8,3.3,3.75,1.75,1.85,,,EN,2002/2003
E2,2002-08-24,Portsmouth,Watford,3,0,H,2,0,H,M Cooper,11,3,8,1,16,13,2,6,0,4,0,1,1.667,3.4,4.5,1.77,3.4,4.6,1.7,3.3,4.0,1.667,3.4,4.333,1.62,3.4,5.0,1.667,3.3,5.0,1.61,3.3,5.0,1.8,1.8,,,EN,2002/2003
E2,2002-08-24,Preston,Stoke,4,3,H,2,1,H,G Frankland,12,6,5,2,15,20,2,5,1,1,0,0,1.667,3.4,4.5,1.86,3.2,4.35,1.75,3.3,3.9,1.8,3.2,4.0,1.73,3.25,4.33,1.8,3.25,4.2,1.72,3.2,4.33,1.75,1.85,,,EN,2002/2003
E2,2002-08-24,Sheffield Weds,Rotherham,1,2,A,1,1,D,D Pugh,15,11,6,6,7,11,7,9,3,7,0,0,2.0,3.25,3.25,2.11,3.3,3.35,2.1,3.0,3.1,2.2,3.2,2.8,2.2,3.25,2.8,2.0,3.2,3.4,2.1,3.1,3.1,1.85,1.75,,,EN,2002/2003
E2,2002-08-24,Walsall,Nott'm Forest,2,1,H,1,0,H,G Salisbury,20,13,10,3,19,12,7,6,2,3,0,1,2.4,3.2,2.6,2.41,3.25,2.55,2.4,3.0,2.6,2.4,3.25,2.5,2.5,3.2,2.5,2.4,3.25,2.625,2.4,3.1,2.6,1.85,1.75,,,EN,2002/2003
E2,2002-08-24,Wimbledon,Brighton,1,0,H,0,0,D,S Bennett,11,5,5,2,19,13,5,2,3,2,0,0,2.4,3.2,2.6,2.3,3.2,2.96,2.3,3.0,2.7,2.4,3.25,2.5,2.25,3.25,2.75,2.3,3.2,2.8,2.25,3.2,2.75,1.9,1.7,,,EN,2002/2003
E2,2002-08-26,Brighton,Walsall,0,2,A,0,2,A,J Ross,8,4,4,4,18,21,9,3,0,6,0,0,1.833,3.25,3.75,1.82,3.4,3.83,1.75,3.4,3.6,1.8,3.4,3.6,1.83,3.25,3.75,1.833,3.25,4.0,,,,1.8,1.8,,,EN,2002/2003
E2,2002-08-26,Gillingham,Preston,1,1,D,0,0,D,M Fletcher,10,13,7,6,13,14,7,3,1,3,0,0,,,,2.0,3.3,3.2,2.0,3.1,3.2,2.0,3.4,3.0,2.0,3.25,3.25,2.1,3.25,3.1,,,,1.75,1.85,,,EN,2002/2003
E2,2002-08-26,Grimsby,Portsmouth,0,1,A,0,0,D,M Messias,5,12,4,8,12,19,6,9,3,4,0,0,3.0,3.25,2.1,3.12,3.25,2.05,3.2,3.1,2.0,3.2,3.2,2.0,3.5,3.25,1.91,3.3,3.3,2.0,,,,,,,,EN,2002/2003
E2,2002-08-26,Ipswich,Bradford,1,2,A,1,1,D,F Stretton,18,13,5,7,10,13,12,6,0,1,0,0,,,,1.41,3.86,8.0,1.4,3.9,6.0,1.364,4.0,7.0,1.36,3.75,8.5,1.444,3.75,7.0,,,,1.7,1.9,,,EN,2002/2003
E2,2002-08-26,Rotherham,Derby,2,1,H,0,0,D,G Cain,9,3,3,1,4,8,17,3,1,1,0,0,,,,2.75,3.25,2.25,3.0,2.9,2.2,2.8,3.2,2.2,3.0,3.25,2.1,3.0,3.25,2.15,,,,1.8,1.8,,,EN,2002/2003
E2,2002-08-26,Stoke,Norwich,1,1,D,0,0,D,C Wilkes,10,3,5,1,10,18,8,2,1,1,0,0,,,,2.52,3.2,2.5,2.5,3.0,2.5,2.4,3.25,2.5,2.63,3.2,2.38,2.6,3.1,2.5,,,,1.85,1.75,,,EN,2002/2003
E2,2002-08-26,Watford,Coventry,5,2,H,3,0,H,M Ryan,13,12,9,9,9,12,4,6,1,1,0,0,,,,2.58,3.25,2.44,2.6,3.1,2.3,2.6,3.2,2.375,2.75,3.25,2.25,2.75,3.25,2.3,,,,,,,,EN,2002/2003
E2,2002-08-27,Crystal Palace,Leicester,0,0,D,0,0,D,Phil Joslin,17,8,6,1,17,14,10,2,1,1,0,1,2.3,3.2,2.7,2.45,3.15,2.55,2.4,3.0,2.6,2.4,3.25,2.5,2.4,3.25,2.62,2.5,3.2,2.5,2.37,3.1,2.62,1.82,1.78,,,EN,2002/2003
E2,2002-08-27,Reading,Burnley,3,0,H,0,0,D,P Taylor,25,13,14,10,6,14,8,1,0,2,0,0,1.91,3.25,3.5,2.0,3.3,3.2,2.0,3.2,3.1,2.2,3.25,2.75,2.0,3.2,3.4,2.0,3.25,3.25,2.0,3.2,3.2,1.8,1.8,,,EN,2002/2003
E2,2002-08-27,Sheffield United,Millwall,3,1,H,0,0,D,J Winter,17,13,8,5,6,18,6,9,0,1,0,0,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.0,3.1,2.2,3.25,2.75,2.1,3.25,3.1,2.1,3.25,3.0,2.0,3.2,3.2,1.9,1.7,,,EN,2002/2003
E2,2002-08-27,Wolves,Sheffield Weds,2,2,D,0,1,A,M Pike,10,5,3,2,9,9,9,5,1,3,0,0,1.4,3.75,7.5,1.4,3.8,7.0,1.35,4.0,7.0,1.4,4.0,6.5,1.4,3.75,8.0,1.33,4.0,8.5,1.33,4.0,8.0,1.7,1.9,,,EN,2002/2003
E2,2002-08-28,Nott'm Forest,Wimbledon,2,0,H,2,0,H,M Cooper,5,8,2,4,15,16,4,4,2,2,0,0,1.8,3.25,4.0,1.85,3.4,3.6,1.85,3.2,3.5,1.8,3.5,3.5,1.8,3.3,4.0,2.0,3.25,3.25,1.9,3.25,3.4,1.8,1.8,,,EN,2002/2003
E2,2002-08-31,Bradford,Rotherham,4,2,H,1,0,H,P Joslin,13,13,7,7,14,17,3,8,0,2,0,0,2.2,3.25,2.8,2.2,3.25,2.9,2.2,3.1,2.8,2.25,3.2,2.75,2.2,3.25,2.8,2.2,3.3,2.875,2.2,3.1,2.87,1.75,1.85,,,EN,2002/2003
E2,2002-08-31,Burnley,Crystal Palace,0,0,D,0,0,D,M Fletcher,5,8,2,4,17,17,3,1,4,3,0,0,2.375,3.2,2.625,2.4,3.2,2.75,2.3,3.2,2.5,2.4,3.25,2.5,2.38,3.2,2.63,2.375,3.2,2.7,2.3,3.25,2.62,1.75,1.85,,,EN,2002/2003
E2,2002-08-31,Coventry,Nott'm Forest,0,1,A,0,1,A,E Wolstenholme,25,14,10,3,8,18,6,4,0,2,0,0,1.833,3.25,3.75,1.78,3.4,4.3,1.75,3.3,3.8,1.8,3.2,4.0,1.67,3.4,4.5,1.7,3.4,4.5,1.8,3.25,3.8,1.8,1.8,,,EN,2002/2003
E2,2002-08-31,Derby,Stoke,2,0,H,0,0,D,S Mathieson,18,8,9,6,20,13,6,2,1,0,0,0,1.615,3.4,5.0,1.59,3.5,5.55,1.6,3.4,4.6,1.571,3.5,5.0,1.57,3.5,5.0,1.571,3.5,5.5,1.57,3.3,5.5,1.7,1.96,,,EN,2002/2003
E2,2002-08-31,Leicester,Gillingham,2,0,H,2,0,H,T Parkes,17,7,8,3,7,12,6,1,0,3,0,0,1.727,3.25,4.333,1.7,3.4,4.75,1.7,3.2,4.2,1.667,3.25,4.5,1.67,3.4,4.5,1.7,3.4,4.5,1.72,3.2,4.33,1.9,1.7,,,EN,2002/2003
E2,2002-08-31,Millwall,Grimsby,2,0,H,1,0,H,G Hegley,16,8,11,6,13,14,1,4,2,0,0,0,1.615,3.4,5.0,1.64,3.45,5.1,1.6,3.4,4.6,1.667,3.4,4.333,1.57,3.5,5.0,1.667,3.3,5.0,1.61,3.3,5.0,1.7,1.9,,,EN,2002/2003
E2,2002-08-31,Norwich,Watford,4,0,H,1,0,H,P Danson,13,6,8,3,11,15,5,6,0,2,0,2,1.667,3.4,4.5,1.72,3.4,4.75,1.7,3.2,4.2,1.615,3.5,4.5,1.67,3.4,4.5,1.727,3.3,4.5,1.72,3.25,4.2,1.8,1.8,,,EN,2002/2003
E2,2002-08-31,Portsmouth,Brighton,4,2,H,3,2,H,S Bennett,15,10,10,4,23,19,4,4,4,4,0,1,1.533,3.5,5.5,1.51,3.6,6.0,1.5,3.7,5.0,1.5,3.4,6.0,1.5,3.5,6.0,1.5,3.5,6.5,1.5,3.4,6.0,1.7,1.9,,,EN,2002/2003
E2,2002-08-31,Walsall,Reading,0,2,A,0,0,D,P Dowd,7,8,7,7,11,14,2,6,3,1,1,0,2.0,3.25,3.25,2.1,3.3,3.02,1.9,3.2,3.4,2.1,3.2,3.0,2.1,3.25,3.0,2.1,3.2,3.2,2.0,3.2,3.2,1.7,1.9,,,EN,2002/2003
E2,2002-08-31,Wimbledon,Wolves,3,2,H,1,1,D,B Curson,5,11,4,7,7,7,3,5,1,0,0,0,3.5,3.25,1.909,4.0,3.3,1.83,3.5,3.1,1.9,4.0,3.2,1.8,3.5,3.25,1.91,3.6,3.25,1.909,3.4,3.25,1.9,1.85,1.75,,,EN,2002/2003
E2,2002-09-01,Preston,Ipswich,0,0,D,0,0,D,G Laws,14,13,7,9,21,15,7,6,1,3,0,0,2.7,3.2,2.3,2.8,3.3,2.26,2.7,3.0,2.3,2.75,3.2,2.25,2.88,3.2,2.2,2.875,3.2,2.25,2.7,3.25,2.25,1.8,1.8,,,EN,2002/2003
E2,2002-09-01,Sheffield Weds,Sheffield United,2,0,H,0,0,D,A Leake,14,15,6,8,13,10,7,17,2,1,0,0,2.375,3.0,2.75,2.41,3.1,2.78,2.5,3.0,2.5,2.5,2.875,2.625,2.5,3.2,2.5,2.4,3.1,2.75,2.5,3.1,2.5,1.7,1.9,,,EN,2002/2003
E2,2002-09-07,Derby,Burnley,1,2,A,1,0,H,A Hall,11,8,7,4,17,20,6,6,2,4,0,0,1.5,3.5,6.0,1.5,3.75,6.7,1.45,3.8,5.4,1.5,3.25,6.5,1.5,3.5,6.0,1.5,3.5,6.5,1.44,3.6,6.5,1.65,1.95,,,EN,2002/2003
E2,2002-09-07,Gillingham,Portsmouth,1,3,A,0,2,A,S Baines,14,13,8,6,19,13,8,2,0,0,0,0,2.8,3.25,2.2,2.85,3.25,2.25,2.7,3.0,2.3,2.75,3.2,2.25,2.88,3.25,2.2,2.9,3.25,2.2,2.8,3.2,2.2,1.85,1.75,,,EN,2002/2003
E2,2002-09-07,Millwall,Brighton,1,0,H,0,0,D,S Mathieson,15,5,5,0,10,7,8,3,1,2,0,1,1.667,3.4,4.5,1.69,3.45,4.8,1.65,3.3,4.4,1.667,3.25,4.5,1.73,3.25,4.5,1.7,3.4,4.5,1.61,3.3,5.0,1.85,1.75,,,EN,2002/2003
E2,2002-09-07,Norwich,Sheffield United,2,3,A,0,3,A,P Dowd,22,8,13,7,10,11,12,0,1,3,0,1,1.667,3.4,4.5,1.64,3.4,5.0,1.65,3.3,4.4,1.667,3.25,4.5,1.57,3.5,5.0,1.615,3.5,5.0,1.61,3.3,5.0,1.9,1.7,,,EN,2002/2003
E2,2002-09-07,Rotherham,Reading,0,0,D,0,0,D,M Halsey,18,11,9,4,11,16,10,1,2,1,0,0,2.1,3.25,3.0,2.0,3.35,3.35,2.0,3.1,3.2,2.0,3.2,3.2,2.0,3.25,3.25,2.0,3.2,3.4,2.0,3.2,3.2,1.77,1.85,,,EN,2002/2003
E2,2002-09-07,Watford,Walsall,2,0,H,0,0,D,C Penton,9,8,6,5,14,13,4,3,1,2,0,1,1.727,3.25,4.333,1.71,3.45,4.45,1.7,3.3,4.0,1.8,3.2,4.0,1.73,3.25,4.5,1.727,3.25,4.5,1.66,3.3,4.5,1.65,1.95,,,EN,2002/2003
E2,2002-09-07,Wimbledon,Leicester,2,3,A,2,2,D,P Prosser,11,8,7,3,13,11,3,5,1,3,0,0,2.625,3.2,2.375,2.7,3.2,2.35,2.7,3.0,2.3,2.5,3.25,2.4,2.75,3.25,2.25,2.75,3.25,2.3,2.62,3.1,2.37,1.8,1.8,,,EN,2002/2003
E2,2002-09-14,Brighton,Gillingham,2,4,A,1,3,A,M Cooper,15,9,8,5,17,22,7,0,3,5,0,2,2.25,3.25,2.75,2.2,3.25,2.85,2.3,3.0,2.7,2.375,3.2,2.6,2.25,3.25,2.75,2.3,3.25,2.75,2.25,3.2,2.75,1.9,1.7,,,EN,2002/2003
E2,2002-09-14,Burnley,Stoke,2,1,H,0,0,D,D Pugh,12,11,5,5,16,18,7,6,3,1,0,1,1.8,3.25,4.0,1.93,3.25,3.75,1.85,3.1,3.6,1.909,3.25,3.4,1.8,3.2,4.0,1.833,3.25,4.0,1.83,3.2,3.75,1.9,1.7,,,EN,2002/2003
E2,2002-09-14,Coventry,Grimsby,3,2,H,0,0,D,J Ross,24,7,17,6,11,10,9,5,1,1,0,0,1.533,3.4,6.0,1.6,3.5,5.5,1.55,3.5,4.8,1.5,3.4,6.0,1.5,3.5,6.0,1.533,3.5,6.0,1.57,3.5,5.0,1.9,1.7,,,EN,2002/2003
E2,2002-09-14,Crystal Palace,Wolves,4,2,H,2,1,H,L Cable,10,9,6,6,16,19,4,3,0,2,0,0,2.75,3.25,2.25,2.8,3.25,2.25,2.9,3.0,2.2,2.75,3.2,2.25,2.88,3.2,2.2,2.8,3.2,2.3,2.75,3.2,2.25,1.8,1.8,,,EN,2002/2003
E2,2002-09-14,Leicester,Derby,3,1,H,1,1,D,R Pearson,16,11,14,5,14,11,4,7,3,2,0,0,2.0,3.0,3.5,2.04,3.25,3.4,1.9,3.1,3.5,1.833,3.2,3.75,2.0,3.25,3.25,2.0,3.1,3.5,1.9,3.2,3.5,1.8,1.8,,,EN,2002/2003
E2,2002-09-14,Nott'm Forest,Watford,0,1,A,0,1,A,C Webster,7,12,2,6,14,10,9,3,0,1,2,0,1.727,3.25,4.333,1.88,3.25,4.0,1.85,3.1,3.6,1.727,3.4,4.0,1.67,3.4,4.5,1.75,3.25,4.5,1.83,3.2,3.75,1.9,1.7,,,EN,2002/2003
